full_text,text_clean,class
Wira Wiri kan sama kek Jaklingko pake Grandmax AC gitu Hanya saja problemnya andaikata dimaksimalin jaringannya ya kurleb sama kek angkot dimana sampe ke jalanan yang lebih kecil gitu akuisisi angkot yang cenderung busuk bagus banget Kekuatan fiskal mah lebih dari cukup sih,wira wiri kayak jaklingko pakai grandmax gitu problem andaikata dimaksimalin jaring kurleb kayak angkot sampai jalan gitu akuisisi angkot cenderung busuk bagus banget kuat fiskal cukup,1
Jaklingko 10A cikini gondangdia,jaklingko jadi orang cikini gondangdia,0
Dari asrama ke tamini naik JakLingko malah lebih murah lagi cuma 10rb abisnya,asrama tamini naik jaklingko murah ribu abis,1
ADA JAKLINGKO,jaklingko,0
Hai Kak Mohon maaf atas kendala yang dialami mengenai saldo yang terpotong 2x silahkan laporkan ke nomor Customer Care Jaklingko yang dapat dihubungi Whatsap 0812 6000 1440 Phone 02129223034 Email custonercare co id Terima kasih SJ,mohon maaf atas kendala alami kena saldo potong silah lapor nomor customer care jaklingko hubung whatsap phone email custonercare terima kasih,0
Itu apa ya di belakang hp antara polaroid kalo ga kartu jaklingko,belakang handphone polaroid tidak kartu jaklingko,0
its gonna be my new whole personality yoongi pernah lewat sini yoongi pernah liat jaklingko yoongi pernah liat bangunan yang sama,gonna whole personality yoongi lewat yoongi lihat jaklingko yoongi lihat bangun,0
akk ada jaklingko,jaklingko,0
Transjakarta sesama TJ masih 5000 3jam kalo pake kartu khusus JakLingko,transjakarta trans jakarta pakai kartu khusus jaklingko,0
Suara Bang Suga tapi depannya kok ada Jaklingko ya Bayangin Bang Suga naik Jaklingko gak ada yg tahu ehehehheehhee,suara suga depan jaklingko bayang suga naik jaklingko tahu ehehehheehhee,0
Naksir yg seulgi tapi klo gabisa jaklingko sayang bgt dong,naksir seulgi kalau bisa jaklingko sayang banget,0
Transjakarta Oh keknya ini mah ikut skema jaklingko ya kalo naik mrt berlaku tarif maks ceban,transjakarta kayak ikut skema jaklingko naik mass rapid transit laku tarif maks ceban,0
Bisa bisanya orang mabok naik Jaklingko,bisa orang mabok naik jaklingko,0
yoongi pernah liat jaklingko,yoongi lihat jaklingko,0
salfok ada jaklingko masuk vlog,salfok jaklingko masuk vlog,0
Ngakak jaklingko debut di vlog yoongi,tertawa jaklingko debut vlog yoongi,0
Transjakarta Oalah berarti ni bus full melayani nbrt yah ga beririsan dgn halte brt 11 12 ama metro trans kah kl begitu Ngikut skema integrasi versi ok otrip bukan jaklingko,transjakarta oalah arti full layan nbrt iris halte sama metro trans kalo ikut skema integrasi versi otrip jaklingko,0
piyo Hai Kak Pembayaran pada halte halte Transjakarta selain dengan menggunakan kartu flazz emoney brizzi tapcash jakcard kartu berlogo Jak Lingko bisa juga menggunakan Tiket QR aplikasi Tije dan aplikasi JakLingko Terima kasih RJ,piyo bayar halte halte transjakarta guna kartu flazz emoney brizzi tapcash jakcard kartu logo lingko guna tiket aplikasi tije aplikasi jaklingko terima kasih,0
jeruk set karubi harami 50 ons diskon 50 dengan jaklingko,jeruk karubi haram diskon jaklingko,0
Kalo tidak mau kerja jadi supir jaklingko tolong ganti orang seperti itu min itu tidak melayani pelanggan dengan senang hati transjakarta,kerja jadi supir jaklingko ganti orang layan langgan senang hati transjakarta,2
parah banget sopir2 jaklingko kemarin tg 28 juni jam 12 12p depan rs hermina sunter arah halte danau agung sopir ngebut terus gak mau berhenti ambil penumpang waduuuh jak lingko dg sopir2 gini terus ancur,parah banget sopir jaklingko kemarin juni hermina sunter arah halte danau agung sopir ngebut terus henti ambil tumpang waduuuh lingko sopir gin terus hancur,2
wuming lu tinggal di mana gw lahir amp besar di jakarta sampai bisa beli cluster di jaksel happy saja tuh malah transportasi Jaklingko gratis sampai depan kompek PBB rumah nyokap pensiunan guru skr di era Anies gratis,wuming kamu tinggal lahir besar jakarta beli cluster jaksel bahagia transportasi jaklingko gratis kompek rumah pensiun guru sekarang anies gratis,1
keren bgt kalo tap di jaklingko seangkot liat kartu gw mba irene,keren banget jaklingko seangkot lihat kartu mbak irene,1
mohamat Ribuan mobil parkir terdekat cuma di JIEXPO Kemayoran LRT ga ada MRT ga ada stasiun kereta terdekat ancol 2 5km jalan kaki ke jis 30 menit Adanya cuma TJ amp Jaklingko 10K Jak77 Jak118 U10 Jis3 amp Jak120,mohamat ribu mobil parkir dekat jiexpo mayor mass rapid transit stasiun kereta dekat ancol kilometer jalan kaki menit trans jakarta jaklingko ribu kamu,0
kos cewe jaksel cilandak kko transum ada tj D21 angkot 61 jaklingko 46 makanan banyak udh incl air listrik kamar mandi sharing ya tp more info dm ajaa bantu2 ibu kos krna kamar ada yg kosong hehe,cewek jaksel cilandak transum trans jakarta angkot jaklingko makan udah incl listrik kamar mandi sharing more informasi bantu kamar kosong,0
Transjakarta Baik semoga dilancarkan dan dimudahkan insyaAllah bisa meningkatkan konektivitas penumpang JakLingko ke shelter TransJakarta mengingat daerah marka tsb sudah ada huniaan yg cukup ramai dan beberapa tempat keramaian terima kasih,transjakarta baik moga lancar mudah insyaallah tingkat konektivitas tumpang jaklingko shelter transjakarta ingat daerah marka huniaan cukup ramai tempat ramai terima kasih,1
gw taunya jaklingko sama tapcash doang flazz dlu gw gabisa,tau jaklingko tapcash doang flazz dulu bisa,0
TJ emang bisa Di MRT Dukuh Atas ada mesin Jaklingko dan MRT Krn itu yg kuceritakan ya MRT,trans jakarta memang mass rapid transit dukuh atas mesin jaklingko mass rapid transit yang cerita mass rapid transit,0
ooh berarti yang vending machine itu bisa buat semua kartu y gak jackcard nya jaklingko sama emoney aja,arti vending machine kartu jackcard jaklingko emoney,0
min Transjakarta klo mau naik 7D tapi dari rambutan bisa naik jaklingko ga trs start 7D skrg dari mana ya,transjakarta kalau naik rambutan naik jaklingko terus start sekarang,0
menfess ini klo di Jakarta bisa di pake buat naik jaklingko ga sii serius nnya klo bisa mau beli soalnya klo ke kampus naik jaklingko,menfe kalau jakarta pakai naik jaklingko serius tanya kalau beli soal kalau kampus naik jaklingko,0
Transjakarta Sorry mas jadinya nemu gak Jaklingko Flazz nya mas Aku nyari gak dapet dapet,transjakarta maaf jadi nemu jaklingko flazz cari dapat,0
Transjakarta Mbak beli Jaklingko Flazz kapan ya Aku nyari belakangan ini gak pernah ada lagi,transjakarta mbak beli jaklingko flazz cari belakang,0
Transjakarta Min dimana bisa beli Kartu Jaklingko Flazz,transjakarta beli kartu jaklingko flazz,0
Kebayang yg bawa stroller mo naik angkot jaklingko,bayang bawa stroller naik angkot jaklingko,0
Entah wkt itu apes ato gmn naik angkot di jakarta kek reyot2 bgt bukan jaklingko angkot bandung gajelas cm rame di rute2 tertentu angkot surabaya aplg udh gajelas gaib sekalinya ada lemot bgt resek bikin misuh pengendara lain,waktu sial gimana naik angkot jakarta kayak reyot banget jaklingko angkot bandung gajelas cuma ramai rute angkot surabaya udah gajelas gaib sekali lambat banget resek buat misuh kendara,0
Kereta cepat bukan transportasi umum si ini murni bisnis kek Garuda Indonesia jangan samain dg KAI dan TJ yg memang tujuannya bukan murni bisnis yg hebatnya pak Jonan bisa jadi untung dan hebatnya TJ bisa di ekskalasi dg jaklingko,kereta cepat transportasi umum murni bisnis kayak garuda indonesia samain trans jakarta tuju murni bisnis hebat jonan jadi untung hebat trans jakarta ekskalasi jaklingko,0
Transjakarta Izin nanya min kartu jaklingko bisa dibeli dimana saja ya dan apa bisa sekalian dipakai untuk mikrotrans angkot,transjakarta izin tanya kartu jaklingko beli pakai mikrotrans angkot,0
Angkot jaklingko bisa pake emoney ga si,angkot jaklingko pakai emoney,0
dilumat Halim harus jalan kedepan gerbang trus naik angkot jaklingko hahaha sama kaya bandara di bdg,lumat halim jalan depan gerbang terus naik angkot jaklingko hahaha kaya bandara bandung,0
Transjakarta Berlaku buat jaklingko jg gak nih jam operasional hari ini min,transjakarta laku jaklingko operasional hari,0
Transjakarta jaklingko 12 tujuan tanah abang pasar kebayoran beroperasi jam berapa kak hari ini,transjakarta jaklingko tuju tanah abang pasar kebayoran operasi hari,0
lagian jaklingko sm tj ga lewat lewat sialan,jaklingko sama trans jakarta lewat lewat sial,2
itu emoney bilang aja lu mau naik jaklingko tp emoney lu ilang mah beliin mah,emoney bilang kamu naik jaklingko emoney kamu hilang belikan,0
Transjakarta halo min mau tanya jaklingko untuk hari ini jam berapa beroperasi,transjakarta halo tanya jaklingko hari operasi,0
Transjakarta jaklingko beroperasi ga min hari ini,transjakarta jaklingko operasi hari,0
bandung tuh butuh bus krl dan angkot semacem jaklingko dijamin dah tuh sektor pariwisatanya makin maju,bandung butuh angkot macam jaklingko jamin sektor pariwisata maju,0
Itu tindakan yg bgs tetapi ad yg blm di bangun halte RSCiputra citra5 kalideres sampe sekarang klo mau nungguin mobil jaklingko susa kadangkehujanan,tindak bagus belum bangun halte rsciputra citra kalideres kalau tunggu mobil jaklingko susah kadangkehujanan,0
ada jaklingko,jaklingko,0
pernah bincang dg org bappeda menyodorkan ide tentang skema Transjakarta atau minimal microtrans JakLingko diterapkan di Kab Pasuruan Harus ada kajiannya terlebih dahulu Karakter daerahnya berbeda Anggarannya berbeda Yaa gak ada yg salah memang dengan pernyataannya tp,bincang orang bappeda sodor skema transjakarta minimal microtrans jaklingko terap kabupaten pasuruan kaji karakter daerah beda anggar beda salah nyata,0
buat gw naik jaklingko aja sini,naik jaklingko,0
masa ya tadi pagi gue lagi nunggu jaklingko terus ada kambing lewat dibawa pake motor terus kambingnya mbek mbek an terus gue yang SEDIH BANGET,masa pagi nunggu jaklingko terus kambing lewat bawa pakai motor terus kambing mbek mbek terus sedih banget,0
Beli ga yh buat apa jg gua Masi sekola paling buat jaklingko itu pun males empet an,beli juga kola jaklingko malas empet,2
Hahaha bolak balik gratis mah cuma naik Jaklingko,hahaha bolak balik gratis naik jaklingko,1
Untuk jaklingko 106 42 dan 74 kalau bisa ada pemberhentian di halte busway cipinang karena halte cipinang lontar setelah magrib gelap gak ada lampu di halte dan seram krn posisi belakang halte sebelum ada fly over banyak yg tertabrak kereta di situ Mohon perhatiannya ya min Tx,jaklingko henti halte busway cipinang halte cipinang lontar magrib gelap lampu halte seram posisi belakang halte over tabrak kereta situ mohon perhati terima kasih,2
gw suruh lu buka hp gw ada histori foto lu malah ngarul kidul bilng gw sering bgitu di tj jaklingko gw bru ketemu lu aja bru sekali terus lu dgn beraniny nampar gw emng stres anjing mending kasih tarif deh biar orang yg gatau aturan kaya dia gausa naik seenaknya,suruh kamu buka handphone histori foto kamu ngarul kidul bilng bgitu trans jakarta jaklingko baru ketemu kamu baru terus kamu beraniny tampar memang stres anjing lebih baik kasih tarif orang gatau atur kaya gausa naik enak,0
untuk ibu2 stress gila tadi pagi naik jaklingko 47 yang nuduh gua foto dia padahal buka kamera juga ngga dan nampar gua seenaknya lu bikin gua trauma naik jaklingko ya dari terminal pasming harusnya gua ga telat kerja gua harus telat karena lu yg nuduh gua foto lu,stre gila pagi naik jaklingko nuduh foto buka kamera tampar enak kamu buat trauma naik jaklingko terminal pasming lambat kerja lambat kamu nuduh foto kamu,2
Or supir jaklingko penjual tissue kang ojek supir 121 pak ogah depan plasa cibubur,supir jaklingko jual kang ojek supir mau plasa cibubur,0
dan JANGAN PERNAH LUPA USAHA ORANG2 JAKARTA KEPENGEN PUNYA TRANSPORTASI PUBLIK SENDIRI makanya dulu perusahaan2 transportasi swasta menjamur yg paling terkenal yaa angkot microbus suzuki carry dan kijang noh klo skrg banyak yg udh gabung ke jaklingko swasta tapi negeri,lupa usaha orang jakarta punya transportasi publik usaha transportasi swasta jamur kenal angkot microbus suzuki carry kijang kalau sekarang udah gabung jaklingko swasta negeri,0
Transjakarta min info dong kalo dri stasiun cakung ke aeon jgc ada rute jaklingko ga,transjakarta informasi dari stasiun cakung aeon rute jaklingko,0
Transjakarta min berarti kalo subuh mau berangkat sholat ied adha ke masjid Istiqlal ga bisa pake transportasi umum kayak Transjakarta sama Jaklingko dong Bisa atau ga ya Mohon konfirmasinya min,transjakarta arti subuh berangkat sholat adha masjid istiqlal pakai transportasi umum transjakarta jaklingko mohon konfirmasi,0
Abis berantem sm orang di jalanan gara2 dia parkir pas bgt didepan plang bus stop sampe gue di skip 3 jaklingko manusia bgst semoga ban mobil kempes mobil lu kena senggol ampe bodynya penyok anjing,habis antem sama orang jalan gara parkir banget depan plang henti skip jaklingko manusia bangsat moga mobil kempes mobil kamu kena senggol bodynya penyok anjing,2
Transjakarta Halo hari ini Jaklingko beroperasi sampai jam berapa ya,transjakarta halo hari jaklingko operasi,0
Buktinya mana Integrasi saja tak mampu memiliki ide kok main klaim JAKLINGKO JAKLINGKO artinya apa cek data fakta Kasihan penggemarmu hok hok Edan rakaruan,bukti integrasi milik main klaim jaklingko jaklingko arti data fakta kasihan gemar edan rakaruan,2
Padahal gak harus sekelas busway perapihan angkot aja bisa cukup membantu contoh Jaklingko Tapi ya balik lagi ke political will tiap kepala daerah yang masih minim,kelas busway perapihan angkot cukup bantu contoh jaklingko balik political will kepala daerah minim,1
biasanya di alfa sama mesin to up yg di busway jaklingko kak,alfa mesin tryout busway jaklingko,0
sebenernya gw pengguna jaklingko sejati sampe mati tapi boleh lah beli tepkes,benar guna jaklingko sejati mati beli tepkes,1
iya kak bisa jaklingko,jaklingko,0
aku top up biasanya di alfa mesin top up yg di busway jaklingko,alfa mesin busway jaklingko,0
udh kak sering iya bener jaklingko angkot,udah benar jaklingko angkot,0
Ini proyek kai masih jalan gais biar jis terintegrasi busway udah 4 rute juga jaklingko 2 apa 3 gitu aman pokoknya sabar ya semua butuh waktu pembangunan begini tuh ga bisa cepeet,proyek jalan gais integrasi busway rute jaklingko gitu aman pokok sabar butuh waktu bangun cepeet,0
Jaklingko yang kyk angkot gitu kan,jaklingko kayak angkot gitu,0
Jaklingko emang bisa kok kak,jaklingko memang,0
Kayanya gw ga sanggup deh magang nya lokasi kantornya gila jauh bgt 2 5jam an anjir Itu total 5x transit dri mulai naik tj ke manggarai ke duri ke rawabuaya naik jaklingko lg trs pemberentian terakhir masi hrs jalan 1 3km mau gamau naik gojek,kayak sanggup magang lokasi kantor gila jauh banget total transit mulai naik trans jakarta manggarai duri rawabuaya naik jaklingko terus renti akhir harus jalan kilometer mau naik gojek,0
Kak mjb kamu udh pernah pake buat jaklingko kah,udah pakai jaklingko,0
mjb kak untuk naik jaklingko tetep free atau saldonya kepotong ya,naik jaklingko tetap bebas saldo potong,0
bisa buat apapun bayar tol bayar parkir naik busway mrt krl jaklingko lrt apapun itu yg noncash nanti isinya dihalte busway bisa diminimarket jg bisa setauku,apa bayar bayar parkir naik busway mass rapid transit jaklingko apa noncash isi halte busway minimarket tau,0
Stadion tinggal di maintenance terus lalu Pemda dg political willnya bangun transportasi umum dan lanjutkan integrasi transportasi dg Jaklingko nya,stadion tinggal maintenance terus perintah daerah political willnya bangun transportasi umum lanjut integrasi transportasi jaklingko,0
ini buat yg nnya tapcash buat apa sih mnrtku ini berguna karna aku jg suka keluar pake transportasi umum bisa di liat di logo ada e toll bayar makan di resto tertentu belanja di tempat tertentu bayar tempat wahana jaklingko busway krl mrt parkir bensin,tanya tapcash mnrtku guna juga suka keluar pakai transportasi umum lihat logo toll bayar makan resto belanja tempat bayar tempat wahana jaklingko busway mass rapid transit parkir bensin,0
hari ini first time balik kerja langsung ke kos yang baru mulai membiasakan diri 2 kali naik jaklingko banyak2in sabar nunggu,hari first time balik kerja langsung baru mulai biasa kali naik jaklingko sabar nunggu,2
bisa buat e toll bayar belanja di tempat tertentu krl mrt jaklingko busway,toll bayar belanja tempat mass rapid transit jaklingko busway,0
mjb bisa buat naik krl mrt jaklingko busway belanja di tempat tertentu e toll juga,naik mass rapid transit jaklingko busway belanja tempat toll,0
ayy mjb di alfa ada yg 20 bisa atau 50 admin 1 500 kalo di mesin jaklingko busway bisa 10 admin terpotong di saldo 1 500,alfa admin mesin jaklingko busway admin potong saldo,0
ak baru aja beli brizzi sama jaklingko ap g mw koleb jg gtuh,baru beli brizzi jaklingko koleb gtuh,0
Dari bandara keluar parkiran dikit udah ketemu jaklingko di depan gereja oikumene cek gmaps Dianterin sampe halte busway cawang uki,bandara keluar parkir dikit ketemu jaklingko gereja oikumene gmaps dianterin halte busway cawang,0
Hai Kak Pada Hari Raya Idul Adha Mikrotrans Jaklingko beroperasi pukul 09 00 WIB Terima kasih DN,hari raya idul adha mikrotrans jaklingko operasi pukul terima kasih,0
Edukasi dimulai dengan pembekalan materi seputar LRT Jakarta amp sistem integrasi JakLingko Indonesia Setelah itu site visit Depo untuk melihat secara langsung perawatan Light Rail Vehicle LRV hingga mencoba layanan NaikLRTJ dari Stasiun Pegangsaan Dua hingga Velodrome,edukasi mulai bekal materi putar jakarta sistem integrasi jaklingko indonesia site visit depo lihat langsung awat terang rail vehicle coba layan naiklrtj stasiun gangsa velodrome,0
Idul Adha Layanan Transjakarta baru beroperasi jam 09 00 Transjakarta kalo untuk mikrotrans seperti jaklingko baru beroperasi pukul berapa min,idul adha layan transjakarta baru operasi transjakarta untuk mikrotrans jaklingko baru operasi pukul,0
Idul Adha Layanan Transjakarta baru beroperasi jam 09 00 kalo untuk mikrotrans seperti jaklingko baru beroperasi pukul berapa min,idul adha layan transjakarta baru operasi untuk mikrotrans jaklingko baru operasi pukul,0
Transjakarta Yey ditunggu launching rute baru Mikrotrans Jaklingko setelah Idul Adha nanti min,transjakarta tunggu launching rute baru mikrotrans jaklingko idul adha,1
Jaklingko nya sampai dalem kah Kalau harus jalan keluar mah sama aja Mau moda apa juga bisa Naik angkutan dari luar bandara bukan angkutan bandara,jaklingko dalem jalan keluar moda naik angkut luar bandara angkut bandara,0
jkt menarik di mrtj jg hrs pilih from to stasiun kok itumah udah biasa kalo di jaklingko bs ewallet yg biasa hrsnya mrk promosi gila2an ya nanti gw cb deh,jakarta tarik mrtj harus pilih tryout stasiun itumah jika jaklingko dompet digital hrsnya promosi gila coba,0
jkt Bisa pake app jaklingko bayar pake QR yg mana paymentnya bisa pake e wallet kek gopay atau ovo Meski agak ribet sih via apps dan harus pilih stasiun tapi buat yg gmau beli kartu mau gamau bisa pake cara itu,jakarta pakai aplikasi jaklingko bayar pakai paymentnya pakai wallet kayak gopay ribet apps pilih stasiun mau beli kartu tidak mau pakai cara,2
kalo semisal dari rumah kamu ke sekolah ada angkutan umum kamu bisa naik itu atau bisa juga naik jaklingko kalo kamu tinggal di Jakarta bisa juga kamu bawa bekal sih nder,misal rumah sekolah angkut umum naik naik jaklingko tinggal jakarta bawa bekal brother,0
Hallo SobatMITJ sekarang Anda dapat terhubung dengan semua transportasi umum hanya dengan satu aplikasi lho Saatnya lengkapi semua kebutuhan transportasi umum Anda menggunakan aplikasi,hallo sobatmitj hubung transportasi umum satu aplikasi lengkap butuh transportasi umum guna aplikasi,0
Ada jaklingko kok buat sambung ke busway,jaklingko sambung busway,0
Pembayaran melalui uang elektronik bank seperti e money Brizzi Flazz TapCash JakCard serta metode kartu MRT dan JakLingko masih bisa digunakan kok Jangan lupa share juga ke orang terdekatmu biar banyak yang tau yaa Source,bayar uang elektronik bank money brizzi flazz tapcash jakcard metode kartu mass rapid transit jaklingko guna lupa share orang dekat tahu source,0
Official Klo sesama TJ ga tp klo abis naik TJ naik MRT tarifnya lbh murah pake jaklingko dibanding kartu biasa,official kalau trans jakarta tapi kalau habis naik trans jakarta naik mass rapid transit tarif lebih murah pakai jaklingko banding kartu,0
gunawan Official Kalo pake kartu Jaklingko masih gitu sih sistemnya,gunawan official pakai kartu jaklingko gitu sistem,0
Transjakarta Hai Kak Bisa ya Untuk dapat naik MRT Jakarta Kakak dapat mengunakan kartu uang elektronik bank seperti JakLingko E Money Bank Mandiri Brizzi Bank BRI TapCash Bank BNI Flazz Bank BCA JakCard Bank DKI dan KMT Commuterline 1,transjakarta naik mass rapid transit jakarta kakak guna kartu uang elektronik bank jaklingko money bank mandiri brizzi bank tapcash bank flazz bank jakcard bank commuterline,0
Mending pake jaklingko lah Ke monas cuman 6750 wkwkwkwkwkw,lebih baik pakai jaklingko monas wkwkwkwkwkw,1
Yah seenggaknya di jaklingko bisa ya ka,enggak jaklingko kakak,0
Hai kak silakan Menuju Halte Juanda naik Rute 2ST turun di M H Thamrin dan transit Rute 9D turun di Tanah Abang Jaklingko kemudian naik JAK 08 turun di Bus Stop KPP Pratama Tanah Abang Terima kasih MB,sila tuju halte juanda naik rute turun thamrin transit rute turun tanah abang jaklingko naik turun henti pratama tanah abang terima kasih,0
Nha ini apakah sudah ada aturan jelas bahwa transportasi umum itu tidak boleh eksklusif termasuk didalamny dgn mengakomodir seluruh mode pembayaran normatif Jujur ini buat pusing loh Cash E Money bank E Wallet Mrt card jaklingko QRis eh ast pay,atur jelas transportasi umum eksklusif masuk didalamny mengakomodir mode bayar normatif jujur pusing cash money bank wallet mass rapid transit card jaklingko qris,2
antara mempertahankan kartu flazz gen 2 ini atau digadaikan dengan kartu jaklingko hmm,tahan kartu flazz gadai kartu jaklingko,0
hm considering to use jaklingko krn penasaran sm tarif terintegrasinya would be very cool kl modelannya persis kek ov chipkaart,considering tryout jaklingko penasaran sama tarif integrasi would very cool kalo model persis kayak chipkaart,1
moodku tergantung supir jaklingko tapi dia gapernah baik jd aku badmood teroos,moodku gantung supir jaklingko pernah baik jadi badmood teroos,2
jkt Transjakarta iya tapi waktu itu casenya knp aku harus download tije karena rute yg aku pengenin ga ketemu di aplikasi JakLingko padahal rutenya cukup populer lah GOR Sumantri ke Benhil jadi petugas di halte saranin buat coba pake app tije,jakarta transjakarta waktu casenya download tije rute pengenin ketemu aplikasi jaklingko rute cukup populer sumantri benhil jadi tugas halte saranin coba pakai aplikasi tije,0
dulu SMP dikasih 20k terus w bawa bekel jadi masih utuh Pulang naik jaklingko gratis even kalo mau jajan paling ngeluarin duit buat beli minum 2 rebuu INTINYA max goceng Cuma kalo emg mau jajan lebih ya jajan aja jgn sering2 AKHIRNYA SMP AK KAYA BYK DUIT drpd skrgg,kasih ribu terus bawa bekel jadi utuh pulang naik jaklingko gratis even jajan ngeluarin duit beli minum rebuu inti goceng memang jajan jajan jangan kaya banyak duit skrgg,0
Transjakarta hallo min mau tanya apa bisa sewa jaklingko lepas kunci,transjakarta hallo tanya sewa jaklingko lepas kunci,0
Bisa Gua kalo lg mrt dan pgn pake qr selalu dari app jaklingko,lagi mass rapid transit ken pakai aplikasi jaklingko,0
ohbisa ya qr lewat app jaklingko,ohbisa lewat aplikasi jaklingko,0
Transjakarta plis perpanjang jaklingko tj sampe cirendeu gue stress banyak euy pulanh ngikutin rush hour terus,transjakarta plis panjang jaklingko trans jakarta cirendeu stre pulanh ngikutin rush hour terus,2
di app jaklingko bisa liat koridor dan rute kyk app tije juga ga dim,aplikasi jaklingko lihat koridor rute kayak aplikasi tije,0
Download jaklingko aja walaupun milih stasiunnya agak ribet tapi bisa bayar pake QRIS kok jd gopay ovo dana dll bisa semua dan udah bisa nyatu jg buat TJ MRT dan LRT,download jaklingko milih stasiun ribet bayar pakai qris jadi gopay dana lain nyatu trans jakarta mass rapid transit,0
Nah kalo begini gue baru tertarik Bahkan kalo bisa JakLingko kepake juga buat bayar taksi sekalian,baru tarik jaklingko kepake bayar taksi,1
halo admin saya hari ini isi kartu jaklingko tapcash menggunakan aplikasi shopee dan sewaktu saya mau update di vending machine malah muncul tulisan sepertii ini padahal saldo seabank saya sudah berkurang mohon dibantu Transjakarta,halo admin hari kartu jaklingko tapcash guna aplikasi shopee update vending machine muncul tulis seperti saldo seabank kurang mohon bantu transjakarta,2
Hai Kak Untuk dapat naik MRT Jakarta Kakak dapat mengunakan kartu uang elektronik bank seperti JakLingko E Money Bank Mandiri Brizzi Bank BRI TapCash Bank BNI Flazz Bank BCA JakCard Bank DKI dan KMT Commuterline Terima kasih,naik mass rapid transit jakarta kakak guna kartu uang elektronik bank jaklingko money bank mandiri brizzi bank tapcash bank flazz bank jakcard bank commuterline terima kasih,0
jkt Transjakarta Bukannya kalo tj itu pake appnya jaklingko ya Setau saya pake ewallet apa aja bisa itu yg bisa qris dari app jaklingko,jakarta transjakarta trans jakarta pakai appnya jaklingko tau pakai dompet digital yang qris aplikasi jaklingko,0
Transjakarta Nunggu jaklingko udah di halte 40 mnt ga dateng2 sekalinya lewat ga mau berenti padahal kosong Tau gitu jalan kaki aja dr awal 20 menitan nyampe Sampe gw mikir apa ini ya slh satu alasan org lebih milih beli kendaraan pribadi drpd pake transportasi umum Makin macet polusi,transjakarta nunggu jaklingko halte menit dateng sekali lewat renti kosong tahu gitu jalan kaki dari awal menit nyampe pikir salah satu alas orang milih beli kendara pribadi pakai transportasi umum macet polusi,2
Ga pas nunggu angkot jaklingko ga nunggu busway ga pas naik buswaynya jam segini jam jam Penuh puadet merayap Nyampe rumah malem ini sih,nunggu angkot jaklingko nunggu busway naik buswaynya gin penuh sangat padat rayap nyampe rumah malam,2
Di masa dia TJ boleh ancur tapi kalo sampe Jaklingko diacak sama doi gue katain sampe mampus,masa trans jakarta hancur jaklingko acak katain sampai mampus,2
Kalau tau bakalan hujan kek gini gua mending naik jaklingko dah males banget kalau bawa motorr,tahu hujan kayak gin lebih baik naik jaklingko malas banget bawa motorr,1
tapi jaklingko registrasinya agak ribet sih tbh so gw gapake app itu,jaklingko registrasi ribet pakai aplikasi,2
Supir Jaklingko galak2 bgt kayanya masih lebih ramah supir angkot,supir jaklingko galak banget kayak ramah supir angkot,2
